0,ipo_date,ipo_price,ipo_amount,industry_pe,ipo_expense,ipo_subbydistr,undrtype,ipo_leadundr,ipo_auditor,ipo_date_pct,ipo_pct_5,ipo_pct_10,ipo_pct_15,ipo_pct_20,pe_ttm,pb_lf,ps_ttm,pcf_of
600299.SH,2000-04-20,6.41,80000000,0,20216000,0,余额包销,国通证券有限责任公司,广东正中会计师事务所有限公司,142.1216849,-5.734536171,-4.445876122,0.644329906,7.925257683,0,0,0,0
600300.SH,2000-06-30,10.28,100000000,0,33000000,0,余额包销,西南证券有限责任公司,大华会计师事务所有限公司,69.84435798,-6.872852325,-2.863688469,-4.467353821,-3.72279501,0,0,0,0
600301.SH,2000-07-12,4.65,40000000,0,8480000,0,余额包销,光大证券有限责任公司,深圳同人会计师事务所,172.2580645,-1.57977879,-2.685624123,-4.423380852,-2.132701397,0,0,0,0
600302.SH,2000-12-13,9.07,45000000,0,15536000,0,余额包销,国泰君安证券股份有限公司,西安希格玛有限责任会计师事务所,131.9735391,-3.184410572,-0.665399253,2.138783216,5.70342207,0,0,0,0
600303.SH,2000-12-26,8.8,40000000,0,13840000,0,余额包销,国泰君安证券股份有限公司,中庆会计师事务所有限责任公司,111.7045455,3.918411255,9.93021965,6.441223621,5.68974781,0,0,0,0
600305.SH,2001-02-06,7.1,40000000,0,9404000,0,余额包销,中信证券股份有限公司,江苏天衡会计师事务所有限公司,124.2253521,0.376884431,-0.125628144,3.391959906,7.097990036,0,0,0,0
600306.SH,2000-12-26,5.68,45000000,0,10400000,0,余额包销,南方证券有限公司,沈阳华伦会计师事务所,170.9507042,4.873294353,11.24106598,4.613385201,2.07927227,0,0,0,0
600307.SH,2000-12-20,5.5,200000000,0,30000000,0,余额包销,广发证券有限责任公司,甘肃五联会计师事务所有限责任公司,21.81818182,-3.283581972,6.119402885,7.164179325,5.97014904,0,0,0,0
600308.SH,2000-09-28,11.98,90000000,0,17620000,0,余额包销,山东证券有限责任公司,山东正源会计师事务所有限公司,41.8196995,-4.885226727,-8.593290329,-4.826368332,-5.473808289,0,0,0,0
600309.SH,2001-01-05,11.28,40000000,0,16239200,0,余额包销,广发证券有限责任公司,山东烟台乾聚会计师事务所有限公司,174.822695,-3.225806475,1.322580695,-4.354838848,-3.290322542,0,0,0,0
600310.SH,2001-02-28,8.8,45000000,0,17550000,0,余额包销,国泰君安证券股份有限公司,湖北大信会计师事务有限公司,101.1363636,1.073446274,2.711864471,3.389830589,2.711864471,0,0,0,0
600311.SH,2001-06-26,8.6,80000000,0,20300000,0,余额包销,国通证券有限责任公司,五联联合会计师事务所有限公司,138.4883721,0.292540222,-3.46172595,-5.997074604,-7.508532524,0,0,0,0
600312.SH,2001-02-21,12.45,60000000,0,19130000,0,余额包销,兴业证券股份有限公司,深圳大华会计师事务所,56.2248996,-1.953727484,0.874036014,3.341902256,0.514138818,0,0,0,0
600313.SH,2001-01-19,6.3,80000000,0,15710000,0,余额包销,国泰君安证券股份有限公司,北京兴华会计师事务所有限责任公司,126.1904762,-6.596491337,-10.17543888,-12.28070164,-10.87719345,0,0,0,0
600315.SH,2001-03-15,9.18,80000000,0,21780000,0,余额包销,联合证券有限责任公司,上海立信长江会计师事务所有限公司,85.18518519,-2.588235378,-2.823529482,-0.823529422,-0.411764711,0,0,0,0
600316.SH,2000-12-15,14.98,60000000,0,20530000,0,余额包销,国泰君安证券股份有限公司,岳华会计师事务所有限责任公司,49.53271028,-6.964285851,-6.696428776,-3.303571463,-7.142857075,0,0,0,0
